Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,true_label,anomaly_score,is_anomaly,top_feature
1,0.247515364,-0.13854926,-1.080886671,2.278501028,0.707750477,0,20.072289,0,Tool wear
1,1.84738844,1.613873765,-0.143779563,0.01134481,0.424958215,0,0.027162503,0,Torque
1,1.247436036,0.939864909,0.112809288,-0.239446807,1.587548623,0,9.604979,0,Tool wear
0,-2.202290284,-2.497580257,-0.166091637,-0.420016772,-0.753342873,0,0.21247014,0,Tool wear
0,0.247515364,-0.003747489,-1.00837243,2.04777274,-0.093494264,0,6.1050386,0,Air temperature
0,0.647483633,0.063653396,-0.467304636,0.412611397,1.257624318,0,0.038246453,0,Torque
1,1.197440003,-0.003747489,-0.629067172,0.663403014,-0.093494264,0,5.7380095,0,Rotational speed
2,-0.35243704,-0.475553688,-0.37805634,0.603213026,-1.036135135,0,0.039492335,0,Rotational speed
1,0.347507431,1.54647288,0.285727862,-0.369858448,-0.234890394,0,0.011735898,0,Torque
1,-0.552421174,-1.21696343,4.714674551,-2.506603026,-1.397480802,0,2.2798626,0,Tool wear
1,-0.502425141,-0.947359888,0.268993806,-0.139130161,0.252140722,0,0.03257559,0,Torque
1,0.247515364,1.07466668,-0.969326301,1.305429554,-0.360575844,0,0.8307003,0,Tool wear
2,0.447499498,0.535459596,-0.110311452,-0.510301754,-0.549104018,0,0.02336225,0,Torque
1,-0.952389443,-1.082161659,-0.573286987,0.673434679,-0.077783583,0,0.1497776,0,Tool wear
0,-2.252286318,-2.767183799,0.302461917,-0.279573466,1.399020449,0,0.17190555,0,Torque
1,1.997376541,2.018279079,0.012404955,0.593181361,-0.690500149,0,0.027007818,0,Process temperature
1,1.997376541,2.220481736,-0.110311452,-0.32973179,0.142165954,0,0.05950664,0,Torque
1,1.84738844,1.411671108,-0.980482338,1.185049577,-0.282022438,1,8.416629,0,Process temperature
1,-1.402353746,-1.082161659,0.771015471,-1.362993252,0.597775708,0,0.18510531,0,Torque
2,-0.652413242,-1.082161659,-0.545396895,0.322326415,0.377826172,0,0.12541446,0,Torque
1,-0.152452905,0.198455168,-0.244183896,0.31229475,-0.109204945,0,0.028557321,0,Torque
1,-0.552421174,0.131054282,6.683715081,-3.128566236,0.534932984,1,98.67847,1,Torque
0,-0.752405309,-1.419166087,-1.555018243,1.42580953,0.519222302,0,0.2947753,0,Tool wear
2,1.147443969,0.46805871,0.029139011,-0.028781849,0.519222302,0,0.1772282,0,Rotational speed
1,-0.552421174,0.063653396,3.180719463,-2.205653085,-0.737632192,0,0.1652067,0,Tool wear
2,0.397503465,0.602860481,-0.093577396,0.171851445,0.110744592,0,0.02627098,0,Torque
1,-2.102298217,-2.430179371,-1.019528467,0.80384632,-0.140626307,0,0.49549332,0,Air temperature
1,-0.052460838,0.872464024,-0.193981729,0.071534798,-1.381770121,0,0.012774188,0,Torque
1,-0.35243704,-0.542954574,1.317661284,-1.583689875,0.267851403,0,0.27091432,0,Rotational speed
2,1.897384473,1.816076422,-0.177247674,-0.149161825,1.131938869,0,0.065590136,0,Torque
0,-0.802401343,-1.419166087,0.899309897,-1.182423288,0.189297998,0,0.029487617,0,Rotational speed
1,-0.35243704,-0.947359888,-0.651379246,0.894131302,-0.391997206,0,0.14379716,0,Tool wear
1,-1.652333914,-1.553967858,-0.082421359,-0.319700125,-0.407707887,0,0.05093961,0,Torque
1,0.697479666,0.265856053,-0.37805634,-0.249478472,1.336177724,0,0.14230072,0,Torque
2,-1.402353746,-0.812558117,-0.299964081,0.793814655,0.550643665,0,0.021758735,0,Torque
2,-0.102456872,-0.542954574,0.77659349,-1.021916653,1.477573855,0,2.175021,0,Torque
0,1.647404305,0.939864909,0.62598699,-0.941663335,-0.910449685,0,0.08740024,0,Rotational speed
1,0.047531229,0.333256939,0.492114546,-1.082106641,-0.203469032,0,0.06068263,0,Rotational speed
1,0.547491565,1.142067566,-0.729471505,0.63330802,0.424958215,0,0.047317233,0,Tool wear
2,1.347428103,1.344270223,-0.0043291,-0.32973179,-0.533393337,0,0.045412995,0,Torque
1,1.29743207,0.265856053,-1.002794412,1.72675947,-0.643368105,1,99.23538,1,Air temperature
2,-0.602417208,-0.071148375,-1.15897893,2.168152716,-0.97329241,0,8.360027,0,Air temperature
2,-0.35243704,-0.745157231,1.78063682,-1.533531552,-0.109204945,0,0.12340283,0,Rotational speed
2,-1.252365645,-1.284364316,-1.142244874,3.211445843,0.676329114,1,97.93792,1,Torque
1,-0.952389443,-0.879959002,0.84910773,-0.971758329,-0.926160366,0,0.033750564,0,Torque
1,1.347428103,1.54647288,1.78063682,-1.463309899,-1.664562382,0,0.035776816,0,Rotational speed
1,-0.90239341,-1.082161659,-0.841031875,1.385682871,0.456379578,0,0.31295192,0,Tool wear
2,-1.302361679,-0.475553688,0.140699381,-0.399953442,0.283562085,0,0.024940891,0,Torque
1,0.247515364,0.333256939,-0.015485137,-0.379890113,-1.50745557,0,0.037613787,0,Torque
2,-1.052381511,-1.756170515,-0.757361598,1.285366224,-1.695983744,0,0.14570534,0,Tool wear
2,-0.90239341,-0.677756345,-0.545396895,0.422643062,0.613486389,0,0.15052024,0,Torque
1,-1.352357712,-1.014760773,-1.052996578,1.766886129,1.226202956,0,4.0566077,0,Air temperature
2,-0.852397376,-1.486566973,-0.818719801,1.044606272,-0.109204945,0,0.065287314,0,Torque
1,1.947380507,2.085679965,0.263415788,-0.811251694,0.000769823,0,0.027796363,0,Rotational speed
2,0.497495532,1.479071994,0.503270583,-0.741030042,-0.611946743,0,0.012989339,0,Torque
1,-1.302361679,-0.812558117,-0.400368414,-0.099003502,0.314983447,0,0.052308496,0,Torque
0,-0.002464804,-0.340751917,1.351129395,-1.513468222,-0.596236062,0,0.057166617,0,Rotational speed
1,-1.202369612,-0.947359888,-0.060109285,0.001313145,0.236430041,0,0.02668623,0,Torque
2,1.097447935,1.007265795,1.088962526,-1.503436558,0.126455273,0,0.019238759,0,Torque
1,0.847467767,0.46805871,1.250725062,-1.413151575,-1.648851701,0,0.036137983,0,Rotational speed
1,-0.652413242,-0.13854926,-0.807563764,0.031408139,-1.523166251,0,0.20775798,0,Torque
2,1.447420171,1.681274651,0.782171508,-0.911568341,-0.454839931,0,0.020155612,0,Torque
0,-0.602417208,-0.947359888,-0.082421359,-0.229415143,0.974832057,0,0.15054582,0,Tool wear
1,-0.852397376,-0.947359888,0.051451085,0.031408139,0.503511621,0,0.041923087,0,Torque
1,-0.452429107,0.131054282,-1.237071189,1.485999518,1.933183609,1,99.49448,1,Tool wear
2,1.447420171,0.805063138,-1.164556948,1.375651206,1.446152492,1,79.09712,1,Air temperature
